,all-1,all-2,all-3,mLB-1,mLB-2,mLB-3,mLC-1,mLC-2,mLC-3,mLLm1-1,mLLm1-2,mLLm1-3,mLLm2-1,mLLm2-2,mLLm2-3,mST-1,mST-2,mST-3
gene-QMZ82_RS08985,38.73735078,50.2141267,52.47816074,111.1562309,116.9150386,98.94774196,68.07950979,37.17001387,63.75611694,116.8638707,98.63694669,142.663947,0,0,0,75.93195359,29.50534713,73.58533586
gene-QMZ82_RS08990,14.9899015,8.914729685,31.74475777,14.99137445,10.1586081,17.63207147,20.3774668,5.714663596,12.45188344,16.12851747,23.0203555,14.19042576,0,0,0,14.20479831,7.58575188,10.54837317
gene-QMZ82_RS08995,397.7127251,451.0685066,409.1801548,321.097647,281.1894474,316.425737,665.8131445,470.7198417,646.9280186,240.3710873,259.8241523,225.5632676,0,0,0,734.4559712,917.6795093,860.0609992
gene-QMZ82_RS09000,876.2649449,788.2214097,658.6830732,678.903668,823.8131465,827.5798252,1400.626169,852.0492809,1162.834616,514.6187602,637.1763882,542.768949,0,0,0,1337.825017,1604.638182,1364.173817
gene-QMZ82_RS09005,662.0675834,664.5853204,563.8565766,689.6355887,648.6886837,666.7031327,1169.616228,833.0188085,1018.547169,486.1626458,581.6584905,504.6353516,0,0,0,1109.598549,1236.451621,1353.17127
gene-QMZ82_RS09010,1131.37499,1228.871333,1222.245757,1415.189565,891.7511731,1091.969112,2027.515801,1442.527569,1790.237331,1233.873639,1374.003895,1063.861854,0,0,0,2405.389834,2293.179271,2445.756361
gene-QMZ82_RS09015,105.7145148,161.204063,146.9709166,145.8171129,118.2934762,123.13113,136.4505944,75.15747102,117.924634,173.4621679,199.3072298,178.3501,0,0,0,112.9347513,126.3934118,91.26417224
gene-QMZ82_RS09020,128.5529321,121.1474324,98.13958652,115.9147474,102.0816192,114.5508011,171.8748453,114.7065962,184.6021639,35.07145133,60.64161487,38.50091161,0,0,0,173.9378167,166.2415875,187.3062739
gene-QMZ82_RS09025,310.8288673,350.7372135,275.0637552,236.0567831,199.8116601,223.4227657,539.0352372,347.3004733,407.5110156,94.31882258,127.122553,79.62308834,0,0,0,374.0495281,510.0028825,438.1473357
gene-QMZ82_RS09030,418.6193356,459.5074022,577.9956905,717.6535606,766.3620851,730.3187319,592.2216494,407.9308273,659.9870912,1058.883568,1053.453657,1168.556534,0,0,0,627.5701194,625.4571694,549.4508694
gene-QMZ82_RS09035,0,0,8.564600273,0,15.8109426,11.17687683,0,0,0,6.180300855,9.596679617,4.660835811,0,0,0,0,0,0
gene-QMZ82_RS09040,14.54810828,7.902516769,4.929804555,13.39914324,13.00116666,0,11.49652924,3.972286617,0,10.88998795,14.34771925,17.96011806,0,0,0,0,5.298328009,9.188379194
gene-QMZ82_RS09045,28.22024636,59.94404957,44.87290989,37.8039876,42.30059584,23.05922517,48.19873739,14.97348062,52.77631608,39.78936551,49.14663198,33.9308847,0,0,0,21.40008679,8.350153441,2.780996656
gene-QMZ82_RS09050,24.96344289,47.62799,24.47191993,50.68116547,15.86780744,31.95862813,58.72134625,18.64943992,38.92294964,68.614873,69.53931083,48.2957848,0,0,0,43.25359507,41.18594738,45.09940431
gene-QMZ82_RS09055,0,16.5932378,7.125199293,33.14748152,0,9.752690027,0,0,31.02769734,162.4183065,112.1241149,68.90579663,0,0,0,0,27.11774148,25.28508134
gene-QMZ82_RS09060,18.09573501,6.638651907,1.878551428,31.26265756,51.75808297,33.93999002,24.71706976,13.14875105,38.36253592,55.66826274,71.97831245,65.02724832,0,0,0,8.82394992,8.160965042,7.989871394
gene-QMZ82_RS09065,104.8518319,100.1932212,100.006268,151.7985337,146.064602,151.3601817,108.3793673,92.32393963,130.3413813,216.3105299,265.6535403,218.0494353,0,0,0,114.5920891,132.1484247,80.61773958
gene-QMZ82_RS09070,229.18456,184.560875,214.3005703,430.1207136,462.7198299,418.6056289,451.7727838,314.5959783,320.9133305,521.439938,457.4791592,599.669596,0,0,0,572.8338577,474.4654077,308.6760785
gene-QMZ82_RS09075,155.0203198,115.4212567,109.65051,168.6960772,219.2021152,180.2409634,205.8841497,146.0712629,278.2023791,64.82922483,75.55805807,112.3229287,0,0,0,430.0983799,356.423038,331.3519642
gene-QMZ82_RS09080,63.75093778,61.39320238,54.61555798,99.34861272,56.90186646,77.63123404,95.73105631,37.49011683,70.49019165,102.9959389,119.9604169,99.02736174,0,0,0,86.34559621,60.76362378,61.38935589
gene-QMZ82_RS09085,784.3746655,631.2529488,466.1379164,498.2981263,642.3344203,628.6784289,1118.365899,675.2936859,909.9166985,454.4292552,376.2209593,256.1025374,0,0,0,1069.729519,1431.635976,1177.146473
gene-QMZ82_RS09090,66.31834561,63.06349822,58.93438482,169.3377248,248.0969746,172.1898953,106.762683,73.60495388,140.5637392,216.92856,269.3613483,325.372948,0,0,0,153.3931647,134.9352818,99.70671964
gene-QMZ82_RS09095,405.7264457,536.2205903,498.8246712,454.930936,383.5194788,407.762889,492.975388,308.7534186,498.2604609,563.2088133,668.8149864,627.9540601,0,0,0,442.9721047,464.2730132,369.5377761
gene-QMZ82_RS09100,749.9293308,719.071046,648.8983832,691.8434629,816.2116491,797.1059714,1229.524276,819.0697561,1384.369423,583.6217813,600.7825319,726.273431,0,0,0,1579.286997,1340.864197,1361.747048
gene-QMZ82_RS09105,375.4472122,251.2327216,241.6598792,252.3959678,260.7263168,280.6905091,533.7847168,327.1275184,547.6194199,205.2347152,180.506904,222.3365866,0,0,0,668.5417291,748.187552,444.8760445
gene-QMZ82_RS09110,1617.584945,1309.607358,1095.879873,1023.101922,1272.986286,1155.183858,2247.940687,1269.388622,1836.702605,727.6452425,817.8921149,751.4410551,0,0,0,2111.858523,3038.451499,1903.586105
gene-QMZ82_RS09115,529.1654692,531.1343835,433.5575147,472.9362239,616.9861698,507.5851777,553.7416385,351.202545,540.4567069,700.0299624,731.6021359,541.8388885,0,0,0,521.4287803,600.8901116,451.3537023
gene-QMZ82_RS09120,74.79516189,93.36327894,99.84834023,55.58667834,29.19026063,28.56475096,92.91200258,61.65673998,93.12248941,44.75533304,49.01976922,43.2675711,0,0,0,42.53032288,64.42583086,61.01083785
gene-QMZ82_RS09125,0,0,0,0,1.509226339,0,7.340091742,0,0,1.854090257,0,0,0,0,0,3.266213556,4.336895708,0
gene-QMZ82_RS09130,5339.528123,5674.510761,5066.026694,3572.263738,1705.600834,3055.515886,10339.42144,6592.935508,8502.854519,2321.087386,2504.257201,2024.3773,0,0,0,8024.959005,10178.6781,7408.915316
gene-QMZ82_RS09135,3601.341077,4619.660413,4311.908367,2829.22661,1964.996128,2338.345492,5630.069275,3296.568613,4881.648911,3490.374316,3629.657437,3042.752086,0,0,0,2784.170468,3307.022961,2440.150744
gene-QMZ82_RS09140,140.5257237,113.8472463,142.3588263,161.0705166,187.5116267,178.191658,260.5597142,194.9293306,225.3336613,140.5277265,157.3166531,147.4303201,0,0,0,420.3829486,523.5748016,406.1760884
gene-QMZ82_RS09145,202.970051,283.7942136,327.164999,251.7745113,274.7950371,284.4269814,292.9405108,134.1294092,291.5306444,320.408845,393.9203786,426.1376988,0,0,0,385.9515258,243.3256361,221.8217498
gene-QMZ82_RS09150,1759.286321,1373.734447,1451.282936,1323.910954,1570.526082,1391.295198,2468.718688,1675.334957,2559.961225,1256.245034,1327.717056,1166.428538,0,0,0,2747.342481,2968.961701,2572.641045
gene-QMZ82_RS09155,383.9810174,341.7785322,402.8916922,461.3638779,555.2258608,453.6781226,454.891601,314.0776312,435.3919724,538.9105736,643.738849,546.1752078,0,0,0,265.2421543,422.2072984,324.1776334
gene-QMZ82_RS09160,101.8656748,181.393676,175.4905396,120.3869872,99.26597065,115.548615,135.8438707,126.1190695,77.6339733,264.5470244,259.7487097,218.1271159,0,0,0,69.83756776,134.4638144,90.1327067
gene-QMZ82_RS09165,269.733933,223.8871281,249.1610755,270.015523,335.4108086,288.7108494,433.0492622,243.7861322,432.2604107,247.428771,268.4318643,251.2786768,0,0,0,568.9064223,519.2846049,478.2902946
gene-QMZ82_RS09170,282.9538683,246.2200133,277.4788112,254.9670964,288.4239534,268.1846701,447.6341962,315.396107,391.6655604,240.7973355,298.9825125,278.9025335,0,0,0,429.9988339,494.1443054,445.8875399
gene-QMZ82_RS09175,253.8445452,237.8238152,207.7994237,301.8619875,341.7202682,331.9588037,408.9022186,281.3119394,428.7489288,242.8303914,274.0692487,343.2233904,0,0,0,571.5365374,510.516391,472.4195932
gene-QMZ82_RS09180,11.61050949,0,0,13.17938104,18.39369601,0,8.528269093,0,21.73456087,3.766120834,3.721439681,7.952551102,0,0,0,13.61848836,0,0
gene-QMZ82_RS09185,198.6345377,178.6355088,196.5267107,390.3849624,361.3829367,310.2689601,334.8727202,249.0459287,394.0454919,417.4785875,449.5809294,507.4805673,0,0,0,779.2842156,680.0134402,786.2403897
gene-QMZ82_RS09190,104.4494537,136.7126008,158.4567143,149.8684845,178.3508119,151.8706864,138.4927721,93.79733139,99.06708229,149.6059035,209.8005367,205.8190028,0,0,0,155.569876,118.3807572,126.9560946
gene-QMZ82_RS09195,135.6253871,181.1157209,135.3313044,149.9887047,121.9837219,161.6265716,182.0727233,106.9785935,153.6419006,248.3357253,271.3632316,207.5976353,0,0,0,218.7212484,135.2906444,152.8722064
